name,nodes,edges,opt,src
anna.col,138,493,11,SGB
david.col,87,406,11,SGB
flat1000_50_0.col.b,1000,245000,50,CUL
flat1000_60_0.col.b,1000,245830,60,CUL
flat1000_76_0.col.b,1000,246708,76,CUL
flat300_20_0.col.b,300,21375,20,CUL
flat300_26_0.col.b,300,21633,26,CUL
flat300_28_0.col.b,300,21695,28,CUL
fpsol2.i.1.col,496,11654,65,REG
fpsol2.i.2.col,451,8691,30,REG
fpsol2.i.3.col,425,8688,30,REG
games120.col,120,638,9,SGB
homer.col,561,1629,13,SGB
huck.col,74,301,11,SGB
inithx.i.1.col,864,18707,54,REG
inithx.i.2.col,645,13979,31,REG
inithx.i.3.col,621,13969,31,REG
jean.col,80,254,10,SGB
le450_15a.col,450,8168,15,LEI
le450_15b.col,450,8169,15,LEI
le450_15c.col,450,16680,15,LEI
le450_15d.col,450,16750,15,LEI
le450_25a.col,450,8260,25,LEI
le450_25b.col,450,8263,25,LEI
le450_25c.col,450,17343,25,LEI
le450_25d.col,450,17425,25,LEI
le450_5a.col,450,5714,5,LEI
le450_5b.col,450,5734,5,LEI
le450_5c.col,450,9803,5,LEI
le450_5d.col,450,9757,5,LEI
miles1000.col,128,3216,42,SGB
miles1500.col,128,5198,73,SGB
miles250.col,128,387,8,SGB
miles500.col,128,1170,20,SGB
miles750.col,128,2113,31,SGB
mulsol.i.1.col,197,3925,49,REG
mulsol.i.2.col,188,3885,31,REG
mulsol.i.3.col,184,3916,31,REG
mulsol.i.4.col,185,3946,31,REG
mulsol.i.5.col,186,3973,31,REG
4,11,20,4,MYC
myciel4.col,23,71,5,MYC
myciel5.col,47,236,6,MYC
myciel6.col,95,755,7,MYC
myciel7.col,191,2360,8,MYC
queen11_11.col,121,3960,11,SGB
queen13_13.col,169,6656,13,SGB
queen5_5.col,25,160,5,SGB
queen6_6.col,36,290,7,SGB
queen7_7.col,49,476,7,SGB
queen7_7.col,49,476,7,SGB
queen7_7.col,49,476,7,SGB
queen8_12.col,96,1368,12,SGB
queen8_12.col,96,1368,12,SGB
queen8_12.col,96,1368,12,SGB
queen8_8.col,64,728,9,SGB
queen8_8.col,64,728,9,SGB
queen8_8.col,64,728,9,SGB
queen9_9.col,81,2112,10,SGB
queen9_9.col,81,2112,10,SGB
queen9_9.col,81,2112,10,SGB
zeroin.i.1.col,211,4100,49,REG
zeroin.i.2.col,211,3541,30,REG
zeroin.i.3.col,206,3540,30,REG
